Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
485,Vitorlás kishajójával szélcsendes idõben partra/kikötõbe szeretne jutni. Segédmotorral nem rendelkezik ezért evezõvel halad. Milyen fényt vagy fényeket kell viselnie ilyen esetben éjszaka?,"A vitorlás kishajóra elõírt fényeket kell továbbra is viselni, valamint más hajó közeledésekor még egy szokásos fehér fényt kell felmutatni.","Más hajó közeledtekor egy szokásos fehér fényt kell felmutatni jelezve azt, hogy nem gépi erõvel és nem vitorlával haladok.","Egy minden oldalról látható fehér fényt jelezve azt, hogy nem gépi erõvel és nem vitorlával haladok.",,3
486,"Milyen esetben észlelheti gyorsjáratú hajón a két gyors, perceként 100-120-szor villanó sárga fényt?",Az elindulást követõen azonnal viseli.,Akkor viseli azokat amikor eléri a 40 km/h sebességet.,"Az utazósebesség elérésétõl viseli azokat még akkor is, ha az nem éri el a 40 km/h sebességet.",xxx-3948.jpg,3
487,Milyen méretûek lehetnek a tavon közlekedõ kishajón alkalmazott jelzõeszközök a Szabályzat II. része alapján?,"A gömb átmérõje 0,8 m, a kúp magassága 0,6 m, alapátmérõje 0,4 m, míg a lobogó és tábla hossza és szélessége 0,5 m.","A lobogó valamint a tábla hossza és szélessége, a kúp magassága és alapátmérõje, valamint a gömb átmérõje legalább 0,4 m.","A lobogó valamint a tábla hossza és szélessége 1,0 m, a gömb átmérõje valamint a kúp magassága és alapátmérõje 0,6 m.",,2
488,"A Szabályzat II. része alapján, melyek a legkisebb elfogadható méretei tavon a vitorla mellett gépi erõt is használó kishajón alkalmazott fekete kúpnak? A kúp magassága és alapátmérõje:","0,4 x 0,4 m.","0,3 x 0,3 m.","0,5 x 0,5 m.",teszt-1234.jpg,1
489,"Hogyan ismeri fel azt nappal, hogy egy hajó 20 méternél kisebb hosszúságú, de 12 fõnél több utas szállítására rendelkezik engedéllyel?",Egy sárga kettõskúpot visel.,Egy csúcsával lefelé fordított fekete kúpot visel.,Egy csúcsával felfelé fordított sárga kúpot visel.,,1
490,"Hogyan ismeri fel azt nappal, hogy egy hajó gyúlékony árut szállít?",Egy csúcsával felfelé fordított fekete kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,Függõleges vonalban két csúcsával lefelé fordított kék kúpot visel.,,2
491,"Hogyan ismeri fel azt nappal, hogy egy hajó egészségre ártalmas árut szállít?",Függõleges vonalban két csúcsával lefelé fordított kék kúpot visel.,Függõleges vonalban három csúcsával lefelé fordított kék kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,,1
492,"Hogyan ismeri fel azt nappal, hogy egy hajó robbanásveszélyes árut szállít?",Függõleges vonalban két csúcsával lefelé fordított kék kúpot visel.,Függõleges vonalban három csúcsával lefelé fordított kép kúpot visel.,Egy csúcsával lefelé fordított kék kúpot visel.,,2
493,"Hogyan ismeri fel azt, hogy egy gyorsjáratú hajó elérte utazó sebességét?","Az utazósebesség elérésétõl függõleges vonalban két gyors, perceként 100-120-szor villanó sárga fényt visel.","Az utazósebesség elérésétõl egy gyors, perceként 100-120-szor villanó sárga fényt visel.","Az utazósebesség elérésétõl függõleges vonalban két gyors, perceként 40-60-szor villanó fehér fényt visel.",,1
494,Milyen menetben lévõ hajóra utalhat a zöld fény?,Kishajónak nem tekinthetõ vitorlás hajó.,Vitorlás kishajó.,"Vitorla mellett saját gépi erõt is használó olyan vitorlás hajó, amely nem kishajó.",xxx-3331.jpg,1
495,Milyen hajót jelölhetnek a képen látható fények?,Menetben lévõ vitorlás kishajó.,"Menetben lévõ olyan vitorlás hajó, amely nem kishajó.","Menetben lévõ vitorla mellett saját gépi erõt is használó olyan vitorlás hajó, amely kishajó.",xxx-3300.jpg,2
496,Milyen hajóra utalhat a vörös fény?,Kishajónak nem tekinthetõ vitorlával haladó hajó.,Menetben lévõ vitorlás kishajó.,"Vitorla mellett saját gépi erõt is használó olyan vitorlás hajó, amely nem kishajó.",xxx-3302.jpg,1
497,Milyen menetben lévõ hajó fényei láthatók az ábrán az alábbiak közül?,"Géphajóként közlekedõ vitorlás hajó, ami nem kishajó szembõl.",Vitorla mellett gépi erõt is használó vitorlás kishajó.,"Vitorlás hajó, ami nem kishajó szembõl.",xxx-2342.jpg,3
498,Milyen menetben lévõ hajó fényei láthatók az ábrán az alábbiak közül?,"Géphajóként közlekedõ vitorlás hajó, ami nem kishajó szembõl.",Vitorla mellett gépi erõt is használó vitorlás kishajó.,"Vitorlás hajó, ami nem kishajó szembõl.",xxx-2343.jpg,3
499,Állapítsa meg milyen menetben lévõ hajó fénye látható az ábrán?,"Kishajónak nem tekinthetõ, vitorla mellett gépi erõt is használó hajó jobb oldalát mutatja.",Kishajónak nem tekinthetõ vitorlával haladó hajó jobb oldalát mutatja.,Vitorlával haladó kishajó a jobb oldalát mutatja.,xxx-3306.jpg,1
500,Állapítsa meg milyen menetben lévõ hajó fénye látható az ábrán?,Vitorlával haladó kishajó a bal oldalát mutatja.,Kishajónak nem tekinthetõ vitorlával haladó hajó bal oldalát mutatja.,"Kishajónak nem tekinthetõ, vitorla mellett gépi erõt is használó hajó bal oldalát mutatja.",xxx-3308.jpg,3
501,Hogyan kell elhelyezni az oldalfényeket egy 7 m hosszúságot elérõ vitorlás kishajón? Az oldalfényeket,egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni.,"egymás mellett vagy egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni, hogy azok az árbocfénnyel azonos magasságban legyenek.",egy közös lámpatestben kell a hajó hossztengelyében a hajó orrán vagy annak közelében elhelyezni a farfénnyel azonos magasságban.,,1
502,Hogyan lehet elhelyezni az oldalfényeket és a farfényt egy vitorlás kishajón?,"Oldalfényeket a hajó legszélsõ pontjain, a farfényt a hajó hátsó részén.","Oldalfényeket egy közös lámpatestben az árboccsúcson vagy az árboc felsõ részén, a farfényt a hajó hátsó részén.",Egy közös lámpatestben az árboccsúcson vagy az árboc felsõ részén.,,3
503,Mit tekintünk mentõmotorosnak a Szabályzat II. része alapján?,A Szabályzat II-11. mellékletben meghatározott követelményeknek megfelelõ kisgéphajó.,A hajózási hatóság által rendeltetésszerû mentésre alkalmasnak nyilvánított és a mentõmotoros lajstromba bejegyzett kisgéphajó.,A hajózási hatóság által rendeltetésszerû mentésre alkalmasnak nyilvánított és a Szabályzat II-11. mellékletben meghatározott követelményeknek megfelelõ kisgéphajó.,teszt-1706.jpg,3
504,Mit értünk felügyeleti hajó alatt a Szabályzat II. része alapján?,"A hajózási hatóság, a vízi- és a határrendészeti rendõri szerv, valamint a Nemzeti Adó- és Vámhivatal (NAV) hajói.",A Honvédség és a különbözõ ellenõrzésre jogosult hatóságok által üzemeltetett hajó(k).,"A hajózási-, a vízügyi-, a vízirendészeti-, a tûzoltó- és a katasztrófavédelmi hatóságok hajóit.",,1
505,"Mit tekintünk kísérõ kisgéphajónak a Szabályzat II. része alapján? Kísérõ kisgéphajó, az olyan saját gép berendezéssel hajtott kishajó, amely","oktatás, edzés, verseny és vízi rendezvény ideje alatt a vitorlás és evezõs csónak, vagy vízi sporteszközök, vitorlás kishajó, illetve vízben lévõ személyek kísérését, szükség esetén mentést szolgál.",csak a vízi rendezvények biztosítására szolgál.,úszómunkagépek munkavégzésének ideje alatt annak kiszolgálásával kapcsolatos feladatokat látja el.,,1
506,Milyen hajó viseli az ábrán látható jelzést?,Kitûzõ hajó.,A Nemzeti Adó-és Vámhivatal hajója.,A vízirendészet hajója.,xxx-1740.jpg,2
507,"Milyen fényjelzést alkalmazhat a veszélyhelyzetet megelõzõ vagy elhárító tevékenységet végzõ honvédelmi, valamint katasztrófavédelmi célú hajó?",Nappal és éjszaka villogó kék fényjelzést alkalmazhat.,Nappal és éjszaka villogó vörös fényjelzést alkalmazhat.,Nappal és éjszaka villogó sárga fényjelzést alkalmazhat.,teszt-1726.jpg,1
508,"Milyen jelzést alkalmazhat éjszaka, ha hajója mûveletképtelen?","Egy fehér fény körkörös forgatásával, ami kishajónál vörös is lehet.",A morzeábécé szerinti ••• - - - ••• (SOS) jelek együttesébõl álló fehér fényjelzéssel.,"Egy vörös fény lengetésével, ami kishajónál lehet fehér is.",,3
509,"Mire készül, ha egy közelben lévõ hajón vörös fényt lengetnek? A jelzést leadó hajó",mûveletképtelen.,"veszélyben van, segítséget kér.",a hajóútban munkát végez.,xxx-3587.jpg,1
510,"Hogyan tudja jelezni nappal, ha hajója mûveletképtelen?",Vörös zászló/lobogó lengetésével.,Körkörösen mozgatott vörös zászlóval.,Sárga zászló lengetésével.,xxx-3671.jpg,1
511,"Milyen módon jelezheti éjszaka azt, ha kishajója mûveletképtelenné vált?",Fehér (vagy vörös) fény lengetésével.,Körkörösen mozgatott vörös fénnyel.,Kék fény lengetésével.,xxx-3672.jpg,1
512,"Mi a jelentése annak, ha egy kishajón fehér fényt lengetnek? A jelzést leadó kishajó","veszélyben van, segítséget kér.",mûveletképtelen.,hullámzás elleni védelemre szorul.,xxx-3588.jpg,2
513,Milyen úszólétesítmény látható az ábrán?,Fennakadt géphajó jobb oldalát mutatja.,Hullámzás elleni védelemre szoruló géphajó jobb oldalát mutatja.,"Mûveletképtelen, de menetben lévõ géphajó jobb oldalát mutatja.",teszt-1445.jpg,3
514,Milyen úszólétesítmény látható az ábrán?,Fennakadt géphajó bal oldalát mutatja.,Révkalauzi szolgálatot ellátó hajó bal oldalát mutatja.,"Mûveletképtelen, de menetben lévõ géphajó bal oldalát mutatja.",teszt-1446.jpg,3
515,"Mire következtet, ha egy közeledõ hajó mellsõ részén vörös lengõt lát nappal?",A hajó révkalauzi szolgálatának ellátását jelzi.,A hajó áthaladási elsõbbségi jogát jelzi.,A hajó 12 fõnél több utas szállítására való jogosultságát jelzi.,teszt-1457.jpg,2
516,"Mit jeleznek a hajón látható fekete gömbök? A gömbök azt jelzik, hogy a hajó",zátonyra futott.,mûveletképtelen.,manõverképességében korlátozott.,zzz-0002.jpg,2
517,Mit jelez a hajón látható két vörös fény? A hajó,"azt jelzi, hogy nyílt helyen vesztegel.",mûveletképtelenségét jelzi.,jobb oldala melletti elhaladás tilalmát jelzi.,zzz-0003.jpg,2
518,Milyen hajó(k) viseli(k) az ábrán látható megkülönböztetõ jelzést?,A Nemzeti Adó-és Vámhivatal által üzemeltetett hajók.,Ellenõrzõ hatóságok hajói a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével.,A mentõmotoros hajók.,xxx-1772.jpg,2
519,"A hajótesten elhelyezett jelzésen, valamint az állami lobogón kívül, milyen kiegészítõ jelzési(i) vannak az ellenõrzõ hatóság hajóinak a Nemzeti Adó-és Vámhivatal által üzemeltetett hajók kivételével?","Egy sárga villogó fénnyel jeleznek, ha feladatainak ellátásához szükséges.","Egy fehér lengõ kékkel keretezett fehér rombusz alakú jelzéssel, valamint ha feladatainak ellátásához szükséges - nappal és éjszaka - villogó kék fénnyel jeleznek.","Kék villogó fénnyel jeleznek, ha feladataik ellátásához szükséges, valamint nappal egy vörös árbocszalagot viselnek.",xxx-1790.jpg,2
520,Mit jelez az ábrán látható tábla?,"A tábla olyan hajót jelöl, amely nem rendelkezik személyzettel.",A hajó személyzetéhez nem tartozó személyek hajón történõ tartózkodási tilalmát!,A hajó személyzetéhez nem tartozó személyek hajóra lépési tilalmát!,teszt-1584.jpg,3
521,"Mit jeleznek nappal a hajón látható jelzõtestek (függõleges vonalban két fekete gömb között egy fekete kettõs kúp)? A jelzõtestek azt jelzik, hogy",a hajó mûveletképességében korlátozott vagy ereszkedik.,a hajó kormányképességében korlátozott.,a hajó merülése miatt mozgásában korlátozott.,zzz-0004.jpg,1
522,Mit jelentenek a hajón látható fények?,Kormányképtelen hajó.,Mûveletképességében korlátozott hajó.,Merülése miatt mozgásában korlátozott hajó.,zzz-0005.jpg,2
523,Mit jelentenek a hajón látható jelzõtestek?,"A hajó kormányképtelen, ezért hajózási akadályt képez.","A hajó mûveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett.","A hajó zátonyra futott, ezért hajózási akadályt képez.",zzz-0006.jpg,2
524,Mit jelentenek a hajón látható jelzõtestek?,"A hajó kormányképtelen, ezért hajózási akadályt képez.","A hajó mûveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadályok keletkezett.","A hajó zátonyra futott, ezért hajózási akadályt képez.",teszt-1608.jpg,2
525,Mit jelentenek a hajón látható fények?,"A hajó kormányképtelen, ezért hajózási akadályt képez.","A hajó zátonyra futott, ezért hajózási akadályt képez.","A hajó mûveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett.",zzz-0007.jpg,3
526,Mit jelentenek a hajón látható fények?,"A hajó kormányképtelen, ezért hajózási akadályt képez.","A hajó zátonyra futott, ezért hajózási akadályt képez.","A hajó mûveletképességében korlátozott és olyan munkát végez, amely miatt hajózási akadály keletkezett.",teszt-1613.jpg,3
527,Mit jelölnek a hajókon látható jelzõtestek (csúcsukkal érintkezõ fekete kúpok)?,"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lévõ hajókat jelölnek.",Víziúton munkát (mederfelmérést) végzõ hajókat jelölnek.,Tavon vontatott kötelékkel haladó kishajókat jelölnek.,zzz-0008.jpg,1
528,Mit jelölnek a hajókon látható jelzõtestek (csúcsukkal érintkezõ fekete kúpok)?,"Vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó, menetben lévõ hajókat jelölnek.",Víziúton munkát (mederfelmérést) végzõ hajókat jelölnek.,Tavon vontatott kötelékkel haladó kishajókat jelölnek.,xxx-1822.jpg,1
529,"Mire utalnak a hajón látható (fölül vörös alatta fehér) mindenoldalról látható fények? A fa hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és",halászati eszköze a hajótól vízszintes irányban legfeljebb 150 méterre nyúlik ki.,halászati eszköze a hajótól vízszintes irányban legfeljebb 200 méterre nyúlik ki.,halászati eszköze a hajótól vízszintes irányban legfeljebb 50 méterre nyúlik ki.,xxx-1853.jpg,1
530,"Milyen hajót lát az ábrán? Halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozó hajó, amelynek",halászeszköze a hajótól vízszintes irányban 100 méternél távolabbra nem nyúlik ki.,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé esõ) irányában 150 méternél távolabbra nyúlik ki.,halászeszköze a hajótól vízszintes (a csúcsával felfelé mutató fekete kúp felé esõ) irányában 150 méternél távolabbra nem nyúlik ki.,zzz-0009.jpg,2
531,"Mire utalnak a hajón látható fények? A fények azt jelzik, hogy a hajó halászattal, de nem vonóhálós vagy más halászati eszköz vonszolásával foglalkozik és",a fehér fény felé halászati eszköze a hajótól vízszintes irányban legfeljebb 100 méterre nyúlik ki.,a fehér fény felé halászati eszköze a hajótól vízszintes irányban 150 méternél távolabbra nyúlik ki.,a fehér fény felé halászati eszköze a hajó mögött legfeljebb 150 méterre nyúlik ki.,zzz-0010.jpg,2
532,"Melyik lobogóval jelezheti egy hajó azt, hogy búvármunka végzésére használják?",Az 1-es számú B kódlobogóval.,2-es számú A kódlobogóval.,3-as számú E kódlobogóval.,xxx-1858.jpg,2
533,Mi a jelentése a hajón látható A jelû kódlobogónak?,A hajót búvármunkák végzéséhez használják.,A hajó horgonya veszélyt jelent a hajózás számára.,A hajó nyílt helyen vesztegel.,teszt-1665.jpg,1
534,Mit jeleznek a hajón látható jelzõtestek (3 db fekete gömb vízszintes alapú háromszög alakban elrendezve)? A hajó,mûveletképtelen.,nyílt helyen (a parttal közvetlen vagy közvetett összeköttetés nélkül) vesztegel.,aknamentesítési mûveletekkel foglalkozik.,zzz-0011.jpg,3
535,"Milyen mentben lévõ hajót feltételez, ha azon felül fehér alatta vörös minden oldalról látható fényeket észlel? A közeledõ hajó egy",hullámzás elleni védelemre szoruló géphajó.,révkalauzi szolgálatot ellátó géphajó.,mûveletképességében korlátozott géphajó.,zzz-0012.jpg,2
536,"Milyen mentben lévõ hajót feltételez, ha azon felül fehér alatta vörös minden oldalról látható fényeket észlel? A közeledõ hajó egy",hullámzás elleni védelemre szoruló géphajó.,révkalauzi szolgálatot ellátó géphajó.,mûveletképességében korlátozott géphajó.,teszt-1693.jpg,2
537,"Melyik kódlobogóval kell megjelölni a szervezett, csoportosan haladó és 10-nél több evezõs vízi jármû részvételével zajló vízi túra túravezetõjének vízi jármûvét?",Az 1-es U jelû kódlobogóval.,A 2-es Z jelû kódlobogóval.,A 3-as V jelû kódlobogóval.,xxx-1872.jpg,1
538,Melyik lobogót viseli a vízi mentõszolgálat motorosa az alábbiak közül?,"Az 1-es jelû zöld lobogót, közepén fehér kereszttel.","A 2-es jelû fehér lobogót, közepén vörös kereszttel.","A 3-as jelû vörös lobogót, közepén fehér.",teszt-1703.jpg,1
539,"Válassza ki, milyen megkülönböztetõ fényjelzés viselhet a vízi mentõszolgálat riasztásra közlekedõ mentõmotorosa elsõbbségi jogának jelzésére?",Villogó sárga fényt viselhet.,Villogó vörös fényt viselhet.,Villogó kék fényt viselhet.,xxx-0664.jpg,3
540,"Válassza ki, hogy milyen jelzõtestet vagy jelzõtesteket viselhet a mûveletképtelen hajó nappal?",1 db 3-as fekete gömböt.,2 db 3-as fekete gömböt függõleges vonalban elhelyezve.,1 db 4-es kettõs kúpot és a 1 db 6-os kúpot függõleges vonalban elhelyezve.,teszt-1459.jpg,2
541,"Hogyan jelölik nappal a hajó horgonyát, kötelét, horgonyláncát, ha az a hajózást veszélyeztetheti?",Radarreflektorral felszerelt kettõskúp alakú vörös úszóval.,Radarreflektorral felszerelt sárga úszóval.,Két radarreflektorral felszerelt sárga úszóval.,xxx-0151.jpg,2
542,"Hogyan jelölik nappal annak a hajónak a horgonyát, amely úgy van kihelyezve, hogy az a hajózást veszélyeztetheti?",Sárga úszóval.,Sárga radarreflektorral felszerelt vörös úszóval.,Radarreflektorral felszerelt sárga úszóval.,xxx-0150.jpg,3
543,"Válassza ki, milyen jelzéssel kell megjelölni nappal annak az úszó testek kötelékének (pl. tutaj) a horgonyát, amely úgy van kihelyezve, hogy az a hajózást veszélyeztetheti?",Radarreflektorral felszerelt sárga úszóval.,Sárga radarreflektorral felszerelt vörös úszóval.,Sárga úszóval.,xxx-0158.jpg,1
544,"Mire következtet, ha egy veszteglõ úszómû környezetében radarreflektorral felszerelt sárga úszót lát? A radarreflektoros sárga úszó","azt jelöli, hogy az úszómû kihelyezett horgonya a hajózást veszélyezteti.",nem az úszómûhöz tartozó jelzés.,"azt jelöli, hogy az úszómû hullámzás elleni védelemre szorul.",zzz-0013.jpg,1
545,"Mire következtet, ha egy munkát végzõ úszómunkagép környezetében radarreflektorral felszerelt sárga úszó(ka)t lát? A radarreflektoros sárga úszó(k)","azt jelöli(k), hogy az úszómunkagép horgonya(i), kötele(i), horgonylánca(i) a hajózást veszélyeztetheti(k).","nem az úszómunkagéphez tartozó jelzés(ek), hanem a munkavégzés sarokpontjának, sarokpontjainak megjelölésére szolgál(nak).","azt jelöli(k), hogy az úszómunkagép hullámzás elleni védelemre szorul.",xxx-3639.jpg,1
546,"Válassza ki, milyen megkülönböztetõ fényjelzés viselhet a veszélyhelyzetet megelõzõ vagy elhárító tevékenységet végzõ honvédelmi, valamint katasztrófavédelmi célú hajó?",Villogó sárga fényt viselhet.,Villogó vörös fényt viselhet.,Villogó kék fényt viselhet.,xxx-0664.jpg,3
547,Milyen hajók viselhetnek gyors villogó sárga fényt?,"A víziúton munkát, mérést vagy szondázást végzõ menetben lévõ olyan hajó, amely a jelzés viselésére az illetékes hatóság írásos engedélyével rendelkezik.","Az a munkát végzõ hajó, amely a hajóútban vesztegel.","A víziúton szondázást vagy mérést végzõ olyan hajó, amelynek vezetõje a munka jellegébõl adódóan azt szükségesnek tartja.",zzz-0016.jpg,1
548,Milyen hajók viselhetnek gyors villogó sárga fényt?,"A víziúton munkát, mérést vagy szondázást végzõ menetben lévõ olyan hajó, amely a jelzés viselésére az illetékes hatóság írásos engedélyével rendelkezik.","Az a munkát végzõ hajó, amely a hajóútban vesztegel.","A víziúton szondázást vagy mérést végzõ olyan hajó, amelynek vezetõje a munka jellegébõl adódóan azt szükségesnek tartja.",xxx-3674.jpg,1
549,"Hogyan kell jelölni éjszaka a hajó horgonyait, köteleit, horgonyláncait, ha az(ok) a hajózást veszélyeztetheti?","Minden oldalról látható sárga fényt viselõ, radarreflektorral felszerelt úszóval.","Minden oldalról látható villogó fehér fényt viselõ, radarreflektorral felszerelt úszóval.","Minden oldalról látható fehér fényt viselõ, radarreflektorral felszerelt úszóval.",,3
550,"Mivel kell jelölni éjszaka hajó, úszó testek köteléke és úszómû horgonyát, ill. az úszó munkagép horgonyait, köteleit, horgonyláncait, ha az(ok) a hajózást veszélyeztetheti(k)?","A veszélyes horgony(oka)t egy minden oldalról látható szokásos fehér fényt viselõ, radarreflektorral ellátott úszóval kell megjelölni.","A veszélyes horgony(oka)t két minden oldalról látható szokásos sárga fényt viselõ, radarreflektorral ellátott úszóval kell megjelölni.","A veszélyes horgony(oka)t egy minden oldalról látható szokásos vörös fényt viselõ, radarreflektorral ellátott úszóval kell megjelölni.",xxx-0144.jpg,1
551,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható (árboc-, oldal- és gyors villanó sárga) fényeket észleli? A fények egy","víziúton munkát vagy szondázást, illetve mérést végzõ menetben lévõ géphajót jelölnek.","egy veszteglõ hajót jelölnek, amely munkát (szondázást, mérést) végez.",egy menetben lévõ felügyeleti tevékenységet végzõ hajót jelölnek.,zzz-0018.jpg,1
552,"Milyen menetben lévõ vagy veszteglõ úszólétesítmény alkalmazhatja a hullámzás elleni védelemre utaló nappali, éjszakai jelzéseket? Az illetékes hatóság engedélyével rendelkezõ","súlyosan sérült, fennakadt vagy elsüllyedt, továbbá a mûveletképességében korlátozott hajó, úszó testek köteléke és az úszómû.","súlyosan sérült vagy mentési munkában részt vevõk, továbbá a mûveletképtelen hajó, úszó testek köteléke és az úszómû.","súlyosan sérült vagy mentés alatt álló, továbbá a mûveletképtelen hajó, úszó testek köteléke és az úszómû.",,2
553,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hullámzás elleni védelemre szoruló",víz alatti vagy egyéb munkák végzése miatt hajózási akadályt képezõ hajó.,vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó.,víz alatti vagy egyéb munkák végzése miatt mûveletképességében korlátozott hajó.,zzz-0020.jpg,3
554,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hullámzás elleni védelemre szoruló",víz alatti vagy egyéb munkák végzése miatt hajózási akadályt képezõ hajó.,vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó.,víz alatti vagy egyéb munkák végzése miatt mûveletképességében korlátozott hajó.,xxx-3731.jpg,3
555,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket észleli? Szembõl egy menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ hajó, amely 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.",aknamentesítéssel foglalkozó hajó.,zzz-0024.jpg,3
556,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket észleli? Szembõl egy menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ hajó, amely 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.",aknamentesítéssel foglalkozó hajó.,xxx-3743.jpg,3
557,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket látja? Menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.","olyan halászati tevékenységet végzõ de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél nagyobb távolságra nyúlik ki a halászati eszköz.",zzz-0025.jpg,3
558,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket látja? Menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.","olyan halászati tevékenységet végzõ de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél nagyobb távolságra nyúlik ki a halászati eszköz.",xxx-3746.jpg,3
559,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket látja? Menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.","olyan halászati tevékenységet végzõ, de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél nagyobb távolságra nyúlik ki a halászati eszköz.",xxx-3749.jpg,2
560,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket látja? Menetben lévõ","vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó hajó, amelynek halászati eszköze 150 méternél hosszabb.","olyan halászati tevékenységet végzõ halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél kisebb távolságra nyúlik ki a halászati eszköz.","olyan halászati tevékenységet végzõ, de nem halászeszköz vízben vonszolásával foglalkozó hajó, amely mellett (a fehér fény irányában) 150 m-nél nagyobb távolságra nyúlik ki a halászati eszköz.",xxx-3747.jpg,2
561,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket észleli? 50 méternél kisebb hosszúságú",víz alatti vagy egyéb munkák végzése miatt hajózási akadályt képezõ hajó vagy egy szabadon közlekedõ komp.,vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó menetben lévõ hajó vagy egy szabadon közlekedõ komp.,víz alatti vagy egyéb munkák végzése miatt mûveletképességében korlátozott menetben lévõ hajó vagy aknamentesítéssel foglalkozó hajó.,zzz-0026.jpg,2
562,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket észleli? 50 méternél kisebb hosszúságú",víz alatti vagy egyéb munkák végzése miatt hajózási akadályt képezõ hajó vagy egy szabadon közlekedõ komp.,vonóháló vagy más halászeszköz vízben vonszolásával foglalkozó menetben lévõ hajó vagy egy szabadon közlekedõ komp.,víz alatti vagy egyéb munkák végzése miatt mûveletképességében korlátozott menetben lévõ hajó vagy aknamentesítéssel foglalkozó hajó.,xxx-3751.jpg,2
563,"Egy olyan hajó felé közeledik, amelyrõl zászló, lobogó vagy megfelelõ tárgy körkörös mozgatásával jeleznek. Mit jelent a hajóról leadott jelzés? A jelzést leadó hajó","veszélyben van, segítséget kér.",ereszkedik.,"halászhálója a hajózás számára akadályt jelent, ezt jelzik a hajóról.",teszt-1466.jpg,1
